Stock,Tickers,Open,Close,High,Low,IV %,% of low to high
NIO,189,43.51,45.5,45.8,42.76,110.78,6.64
RBLX,186,72.47,69.7,72.96,69.11,null,5.28
BA,150,253.86,269.19,269.72,253.5,55.80,6.01
MVIS,135,15.2,17.46,18.22,14.71,197.99,19.26
GME,2750,277.52,220.14,283,206,490.60,27.21
AMC,1850,12.18,14.04,14.49,11.85,277.23,18.22
PLTR,527,27.35,26.79,27.47,26.31,94.66,4.22
TSLA,525,694.09,707.94,713.18,684.04,82.21,4.09
AAPL,379,121.41,123.99,124,120.42,35.00,2.89
BB,339,12.09,11.68,12.52,11.55,127.02,7.75
NOK,227,4.29,4.3,4.39,4.26,95.57,2.96
APHA,266,25.35,27.65,28.04,25.04,125.73,10.7
NIO,253,45.55,44.93,46.29,44.38,90.71,4.13
RKT,251,25.65,25.8,26.66,25.12,122.54,5.78
SNDL,209,1.43,1.62,1.65,1.43,333.16,13.33
GME,2360,203.16,208.17,220.7,172.35,296.92,21.91
AMC,761,13.62,13.02,13.62,12.34,147.75,9.4
TSLA,577,703.35,676.88,707.92,671,95.67,5.22
PLTR,572,26.75,25.61,27.1,25.23,88.51,6.9
APPL,384,125.7,125.57,127.22,124.72,37.08,1.97
RKT,223,26.11,25,26.93,24.93,244.86,7.43
PLUG,222,44.86,42.68,45.15,41.95,137.29,7.09
RBLX,204,73.73,77,78,73.18,115.25,6.18
BB,192,11.87,11.46,12.2,11.27,76.81,7.62
GOEV,190,15.8,15.44,16.68,15.07,107.78,9.65
SNDL,188,1.74,1.51,1.75,1.45,139.55,17.14
GME,1520,217.84,209.81,231.47,204,350.15,11.87
TSLA,653,656.87,701.81,703.73,651.01,72.15,7.49
PLUG,532,37.03,39.33,39.97,34.2,158.87,14.44
AMC,514,13.24,13.56,13.66,13,205.59,4.83
PLTR,493,24.52,25.21,25.73,24.3,84.33,5.56
AAPL,365,124.05,124.76,125.86,122.34,34.94,2.8
RKT,201,24.82,24.5,25.13,24.15,100.81,3.9
SNDL,167,1.41,1.54,1.59,1.38,353.89,13.21
ET,150,8.08,8.14,8.3,8.05,50.39,3.01
NIO,141,41.9,44.76,45.02,41.33,75.11,8.2
GLD,132,162.29,163.51,164.13,161.48,19.30,1.61
GME,1180,214,201.75,218.88,195.65,302.60,10.61
AMC,550,14.34,14,14.54,13.57,175.70,6.67
TSLA,549,684.29,653.16,689.23,652,94.47,5.4
PLTR,401,24.73,23.98,25.18,23.78,69.22,5.56
AAPL,399,122.88,120.53,123.18,120.32,38.60,2.32
UPST,288,83.54,115.09,124.75,81.96,253.30,34.3
RKT,251,24.3,23.1,24.6,23.06,246.06,6.26
AMD,205,81.06,78.12,81.62,78.01,54.05,4.42
NIO,130,43.3,41.63,44.26,41.45,113.94,6.35
PLUG,128,37.5,36.36,38.57,36.06,129.66,6.51
NOK,127,4.04,3.91,4.13,3.91,47.02,5.33
GME,1340,195.73,200.27,227,182.66,46.16,19.53
TSLA,550,646.6,654.87,657.23,624.62,12.86,4.96
AMC,524,14.14,13.93,14.18,13.28,33.52,6.35
AAPL,415,119.9,119.99,121.43,119.68,10.65,1.44
PLTR,265,24.01,24.32,24.57,23.39,25.00,4.8
RKT,173,23.24,23.07,23.64,22.73,22.85,3.85
DIS,135,190.92,191.14,194,189.76,27.84,2.19
PLUG,123,35,38.28,38.57,34.5,21.69,10.55
AMD,113,78.49,79.06,79.34,77.59,8.51,2.21
QQQ,110,311.87,313.14,314.73,309.66,2.46,1.61
NIO,99,41.44,43.35,43.4,40.44,14.98,6.82
GME,1240,205.26,194.49,210.36,186.2,293.83,11.49
TSLA,899,684.59,670,699.62,668.75,94.20,4.41
AMC,707,13.15,12.49,13.19,11.76,155.07,10.84
PLTR,511,24.89,24.22,24.92,23.86,67.99,4.25
AAPL,437,120.33,123.39,123.87,120.26,38.91,2.91
RKT,180,23.24,22.99,23.46,22.84,97.09,2.64
NIO,166,44.07,42.94,44.56,42.58,110.96,4.44
UPST,162,127.94,164.87,165.66,124.05,283.48,25.12
MOON,126,44.98,44.3,45.13,43.28,null,4.1
AMD,123,79.99,80.3,81.26,79.22,52.62,2.51
APHA,108,19.46,18.76,19.66,18.62,106.68,5.29
GME,2690,197.5,181.75,201.75,177.55,350.22,12
AMC,628,11.46,10.66,11.93,10.37,195.01,13.08
PLTR,620,24,23.26,24.1,23.1,90.27,4.15
TSLA,474,675.77,662.16,677.8,657.51,81.73,2.99
RKT,378,23.33,23.04,24.69,22.96,88.08,7.01
AMD,316,80.13,78.38,80.34,77.95,48.39,2.97
AAPL,299,123.33,122.54,124.24,122.14,34.53,1.69
INTC,265,66,63.48,66.05,63.17,47.28,4.36
UPST,139,159.97,118.48,164.06,115.58,152.62,29.55
QQQ,128,319.73,317.22,321.09,316.38,32.60,1.47
NIO,124,42.58,41.18,43.11,40.98,108.08,4.94
GME,2680,157.98,120.34,166.97,118.62,275.11,28.96
PLTR,779,23.3,21.88,23.49,21.75,64.58,7.41
AMC,568,10.82,9.02,11.21,8.93,171.59,20.34
TSLA,566,667.91,630.27,668.02,630.11,88.73,5.67
NIO,437,41.2,36.96,41.29,36.58,110.38,11.41
AAPL,280,122.82,120.09,122.9,120.07,37.63,2.3
AMD,209,77.55,76.48,78.8,76.4,49.28,3.05
RKT,172,23.32,22.52,23.57,22.48,88.30,4.62
DIS,144,190.06,184.72,190.5,184.64,32.80,3.08
CRSR,139,32.12,30.8,32.77,30.71,51.44,6.29
INTC,126,66.58,62.04,67.44,61.99,38.14,8.08
GME,2120,123.49,183.75,187.5,116.9,412.27,37.65
AMC,614,8.96,10.94,11.32,8.95,204.47,20.94
TSLA,567,613,640.39,645.5,609.5,70.76,5.58
PLTR,505,21.2,22.58,22.8,21.05,74.16,7.68
AAPL,327,119.54,120.59,121.66,119,32.90,2.19
NIO,285,35.24,37.94,39.19,35.12,114.89,10.39
CRSR,256,29.6,32.96,33.3,29.51,64.65,11.38
QQQ,144,309.97,311.33,312.89,307.39,27.02,1.76
AMD,130,75.85,76.22,76.95,74.96,41.94,2.59
GLD,112,163.06,161.78,163.58,161.32,16.76,1.38
BB,112,9.31,9.88,9.97,9.25,110.95,7.22
GME,1420,197.68,181,218.93,163.26,273.43,25.43
TSLA,846,641.87,618.71,643.82,599.89,89.35,6.82
PLTR,450,22.63,22.58,23.05,21.76,64.59,5.6
NIO,418,35.65,36.13,36.65,34,111.08,7.23
AAPL,349,120.35,121.21,121.48,118.92,37.67,2.11
AMC,337,11.27,10.24,11.53,10.01,173.09,13.18
VIAC,270,65.75,48.23,66.27,39.81,165.38,39.93
RKT,204,22.3,23.91,24.13,22.09,244.77,8.45
FUBO,132,26,21.88,26.67,20.69,129.62,22.42
ROOT,130,13.5,14.34,15.41,13.12,69.38,14.86
BIDU,112,190.84,208.61,209.32,174.05,102.31,16.85
PLTR,1060,22.48,21.73,22.5,21.39,79.44,4.93
TSLA,889,615.64,611.29,616.48,596.02,77.86,3.32
GME,741,180.75,181.3,193.92,173.51,274.63,10.52
RKT,732,24.25,23.8,27.44,22.81,116.69,16.87
VIAC,292,46.99,45.01,48,43,167.30,10.42
AAPL,277,121.65,121.39,122.58,120.73,29.14,1.51
BB,196,9.56,9.2,9.67,9.14,193.44,5.48
NFLX,146,505.66,513.95,518,504.4,35.06,2.63
NIO,145,35.26,35.51,36.84,34.5,98.31,6.35
DKNG,141,63.75,58.2,64.72,58.1,91.79,10.23
AMC,138,10.32,10.35,10.76,10.09,146.21,6.23
TSLA,1110,601.75,635.62,637.66,591.01,86.63,7.32
PLTR,871,21.36,22.04,22.09,20.86,66.45,5.57
GME,860,187.5,194.46,204.3,182,269.42,10.92
BB,595,9.08,9.34,9.41,8.88,76.18,5.63
AAPL,349,120.11,119.9,120.4,118.86,31.65,1.28
VIAC,228,46.72,46.61,48.39,45.16,164.34,6.67
GOEV,226,9.64,9.3,9.78,8.52,124.04,12.88
RKT,224,24.05,23.2,24.53,23.17,47.36,5.54
AMD,207,76.74,76,76.56,74.85,47.23,2.23
NIO,186,35.2,37.55,37.96,34.61,98.85,8.83
AMC,184,10.31,10.35,10.52,9.76,166.04,7.22
TSLA,1010,646.62,667.93,672,641.11,64.53,4.6
PLTR,798,22.5,23.29,23.85,22.38,69.45,6.16
GME,625,197.5,189.82,199.46,187.11,224.08,6.19
MVIS,462,12.96,18.55,19.37,12.78,205.58,34.02
BB,416,8.61,8.43,8.73,8.36,118.69,4.24
AAPL,399,121.65,122.15,123.52,121.15,25.91,1.92
DISCB,332,75.5,128,150.72,75.4,null,49.97
DISCA,258,44.15,43.46,45.28,42.35,73.21,6.47
VIAC,246,46.93,45.1,46.98,43.77,122.16,6.83
NIO,244,38.96,38.98,39.25,37.45,104.98,4.59
MSFT,229,232.91,235.77,239.1,232.39,26.43,2.81
TSLA,1460,688.37,661.75,692.42,659.42,80.62,4.77
PLTR,649,23.95,23.07,23.95,22.73,60.26,5.09
GME,436,193.36,191.45,196.97,183.6,241.25,6.79
AMC,407,10.23,9.36,10.26,9.15,166.36,10.82
AAPL,305,123.66,123,124.18,122.49,27.49,1.36
NIO,297,41.56,39.66,42.06,39.25,92.02,6.68
MVIS,194,17.16,15.54,17.39,15.2,209.34,12.59
ASO,163,27.08,29.04,29.37,26.62,69.45,9.36
VIAC,149,45.59,44.64,46.24,43.93,154.52,5
CRSR,140,33.77,33.87,34.99,33.56,47.15,4.09
AMD,129,80.16,81.09,81.31,79.48,40.59,2.25
TSLA,1540,707.71,691.05,708.16,684.7,67.76,3.31
GME,831,171,186.95,195,164.81,166.39,15.48
ASO,770,31.23,31.7,33.25,29.75,148.36,10.53
PLTR,622,23.78,23.44,24.45,23.34,70.58,4.54
AMC,413,10.1,10.61,11.25,9.75,121.21,13.33
AAPL,306,123.87,125.9,126.16,123.07,26.65,2.45
FB,245,300.89,308.91,310.77,300.68,32.75,3.25
BB,191,8.75,9.3,9.34,8.62,80.52,7.71
VIAC,168,44.55,42.9,44.75,42.3,79.33,5.47
NIO,140,40.54,39.31,40.65,38.72,89.01,4.75
AMD,139,81.74,81.43,81.9,80.39,37.94,1.84
TSLA,808,690.3,691.62,696.55,681.37,51.43,2.18
ASO,787,33.1,31.14,33.74,30.13,70.36,10.7
GME,518,185.21,184.5,192,183.56,223.04,4.4
PLTR,463,23.55,23.27,23.61,22.83,46.43,3.3
VIAC,278,42,44.35,45.36,41.95,150.66,7.52
AAPL,225,126.5,126.21,127.13,125.65,24.54,1.16
AMC,206,10.4,10.2,10.5,10,159.40,4.76
RKT,162,22.36,22.65,23.43,21.89,38.42,6.57
APHA,117,18.05,17.29,18.19,17.16,70.16,5.66
AMD,113,81.21,81.44,82.46,80.88,31.58,1.92
NIO,105,38.83,40,40.39,38.42,67.14,4.88
TSLA,658,687,670.97,691.38,667.84,51.34,3.4
ASO,507,31.55,30.78,32.01,30.41,69.98,5
GME,441,183.22,177.97,184.5,176.11,223.03,4.55
PLTR,372,23,22.9,23.55,22.81,46.79,3.14
AAPL,321,125.83,127.9,127.92,125.14,24.99,2.17
NIO,216,39.7,37.27,39.85,36.95,66.74,7.28
VIAC,191,45.93,43.89,46.2,43.69,150.61,5.43
BB,187,9.45,8.91,9.51,8.91,78.53,6.31
APHA,170,17.14,16.19,17.21,16.11,70.20,6.39
AMC,134,10.07,9.85,10.18,9.85,159.46,3.24
AMD,119,81.32,82.2,83.1,80.35,31.69,3.31
GME,838,185.88,170.26,185.88,164.3,49.72,11.61
AAPL,590,128.95,130.36,130.39,128.52,7.14,1.43
TSLA,547,677.38,683.8,689.55,671.65,14.49,2.6
ASO,499,29.52,29.05,29.69,28.39,105.45,4.38
PLTR,486,23.2,23.41,23.6,22.74,24.37,3.64
BB,243,8.99,9.44,9.59,8.95,32.88,6.67
APHA,201,16.35,16.27,16.62,15.7,23.65,5.54
VIAC,168,43.86,42.29,44.36,42.12,25.58,5.05
FUBO,163,20.77,20.7,21.26,20.26,48.79,4.7
AMZN,150,3310.9,3299.3,3324.5,3229,7.85,2.87
DIS,145,187.2,187.32,188.05,185.63,9.68,1.29
GME,766,169.7,158.36,171.58,153,224.38,10.83
AAPL,713,129.8,133,133.04,129.47,25.42,2.68
PLTR,586,23.46,24.04,24.35,23.37,47.21,4.02
TSLA,505,677.77,677.02,680.97,669.43,52.90,1.69
FUBO,341,22.16,23.31,25.35,21.38,98.85,15.66
ASO,225,30.98,30.84,32,29.34,70.79,8.31
APHA,205,16.25,16.28,16.85,15.97,85.43,5.22
AMZN,182,3304.7,3372.2,3372.2,3288.9,21.99,2.47
BABA,140,224.85,223.31,225.07,221.32,42.36,1.67
DIS,128,188.17,187.89,188.22,186.15,17.26,1.1
AMC,118,9.6,9.42,9.74,9.24,158.61,5.13
GME,880,169.7,158.36,171.58,153,227.17,10.83
PLTR,834,24.52,23.34,24.55,22.73,60.06,7.41
BABA,640,237.89,244.01,244.91,236.65,42.25,3.37
TSLA,635,685.7,701.98,704.8,682.09,59.26,3.22
NVDA,493,571.59,608.36,614.1,565.57,38.59,7.9
AMD,457,82.06,78.58,82.18,78.03,37.29,5.05
AAPL,398,132.52,131.24,132.85,130.63,26.34,1.67
APHA,339,14.43,13.95,14.76,13.81,75.30,6.44
ASO,194,30.12,32.29,32.6,30.04,69.11,7.85
DKNG,166,61.35,58.03,61.89,57.14,61.20,7.67
AMC,159,9.44,8.62,9.49,8.51,134.08,10.33
TSLA,1670,712.7,762.32,763,710.66,57.86,6.86
PLTR,1450,23.19,25.42,25.66,23.12,74.52,9.9
AAPL,688,132.44,134.43,134.66,131.93,26.39,2.03
GME,638,141.88,140.99,145.38,132,226.43,9.2
JNJ,218,156.86,159.48,159.93,156.53,11.08,2.13
RBLX,216,74.69,82.05,83.41,73.51,83.61,11.87
BABA,214,243.66,241.89,245.69,239.69,38.66,2.44
APHA,214,13.23,14.85,15.05,13.03,94.50,13.42
AMD,190,79.67,80.19,80.72,78.98,37.23,2.16
NVDA,181,609.26,627.18,628,605.03,37.52,3.66
TLRY,147,16.39,18.32,18.53,16.28,103.97,12.14
TSLA,1600,770.7,732.23,780.79,728.03,58.96,6.76
PLTR,1590,25.35,23.7,26.2,23.65,80.24,9.73
GME,725,143.57,166.53,174.09,143,227.09,17.86
AAPL,508,134.94,132.03,135,131.66,30.75,2.47
COIN,428,381,328.28,429.54,310,null,27.83
RIOT,274,60.8,50.16,61.55,49.3,172.82,19.9
SQ,177,274.13,258.4,278.13,256.58,57.59,7.75
MARA,149,50.96,42.97,50.98,42.26,182.16,17.1
PSFE,147,13.58,13.73,14.3,13.56,87.42,5.17
RBLX,133,79.11,75.35,80.57,74.05,81.50,8.09
AMD,131,79.88,78.55,80.13,77.94,39.01,2.73
